sepal.length,sepal.width,petal.length,petal.width,variety
5.1,3.8,1.6,0.2,Setosa
5.7,3.8,1.7,0.3,Setosa
5.7,4.4,1.5,0.4,Setosa
4.6,3.6,1.0,0.2,Setosa
4.8,3.0,1.4,0.3,Setosa
5.0,3.5,1.6,0.6,Setosa
5.1,3.4,1.5,0.2,Setosa
4.8,3.1,1.6,0.2,Setosa
5.0,3.5,1.3,0.3,Setosa
5.4,3.4,1.5,0.4,Setosa
4.4,3.0,1.3,0.2,Setosa
5.0,3.6,1.4,0.2,Setosa
4.6,3.4,1.4,0.3,Setosa
5.4,3.4,1.7,0.2,Setosa
5.1,3.8,1.9,0.4,Setosa
5.8,2.7,4.1,1.0,Versicolor
5.7,2.9,4.2,1.3,Versicolor
4.9,2.4,3.3,1.0,Versicolor
7.0,3.2,4.7,1.4,Versicolor
5.6,3.0,4.1,1.3,Versicolor
5.2,2.7,3.9,1.4,Versicolor
5.9,3.2,4.8,1.8,Versicolor
5.6,3.0,4.5,1.5,Versicolor
5.5,2.5,4.0,1.3,Versicolor
5.7,2.6,3.5,1.0,Versicolor
5.5,2.4,3.7,1.0,Versicolor
6.8,2.8,4.8,1.4,Versicolor
6.4,2.9,4.3,1.3,Versicolor
5.5,2.6,4.4,1.2,Versicolor
5.5,2.3,4.0,1.3,Versicolor
5.8,2.7,5.1,1.9,Virginica
6.0,3.0,4.8,1.8,Virginica
6.2,3.4,5.4,2.3,Virginica
6.7,3.3,5.7,2.5,Virginica
6.9,3.1,5.4,2.1,Virginica
6.5,3.0,5.2,2.0,Virginica
7.3,2.9,6.3,1.8,Virginica
6.7,3.3,5.7,2.1,Virginica
6.7,2.5,5.8,1.8,Virginica
6.9,3.1,5.1,2.3,Virginica
6.3,3.4,5.6,2.4,Virginica
6.7,3.1,5.6,2.4,Virginica
6.4,3.1,5.5,1.8,Virginica
6.3,2.5,5.0,1.9,Virginica
6.8,3.0,5.5,2.1,Virginica
